State,Year,Species,Metric Tons,Pounds,$,Price Per Pound,
ME,2007,"SEA BASS, BLACK",5,"10,123","31,707",0.32,
ME,2008,"SEA BASS, BLACK",7,"15,555","43,797",0.36,
ME,2009,"SEA BASS, BLACK",7,"16,138","54,556",0.3,
ME,2010,"SEA BASS, BLACK",10,"21,498","82,464",0.26,
ME,2011,"SEA BASS, BLACK",9,"20,496","73,615",0.28,
ME,2012,"SEA BASS, BLACK",8,"18,158","62,684",0.29,
ME,2013,"SEA BASS, BLACK",11,"23,066","87,738",0.26,
ME,2014,"SEA BASS, BLACK",12,"26,958","85,251",0.32,
ME,2015,"SEA BASS, BLACK",11,"24,591","104,255",0.24,
ME,2016,"SEA BASS, BLACK",13,"29,168","137,961",0.21,
RI,2000,"SQUID, LONGFIN",6952,"15,326,032","10,762,869",1.42,
ME,2000,"SQUID, LONGFIN",7,"15,493","10,207",1.52,
RI,2001,"SQUID, LONGFIN",7019,"15,474,861","9,912,881",1.56,
ME,2001,"SQUID, LONGFIN",0,80,56,1.43,
RI,2002,"SQUID, LONGFIN",8227,"18,136,451","11,807,304",1.54,
ME,2002,"SQUID, LONGFIN",1,"1,218","1,097",1.11,
RI,2003,"SQUID, LONGFIN",7121,"15,699,474","11,112,441",1.41,
RI,2005,"SQUID, LONGFIN",10041,"22,135,348","16,972,887",1.3,
RI,2006,"SQUID, LONGFIN",9660,"21,296,219","16,879,068",1.26,
RI,2007,"SQUID, LONGFIN",7200,"15,872,514","13,426,039",1.18,
RI,2008,"SQUID, LONGFIN",6650,"14,660,015","13,539,533",1.08,
ME,2008,"SQUID, LONGFIN",5,"9,850","7,684",1.28,
RI,2009,"SQUID, LONGFIN",5054,"11,141,924","10,045,829",1.11,
RI,2010,"SQUID, LONGFIN",3342,"7,367,736","7,429,741",0.99,
RI,2011,"SQUID, LONGFIN",4498,"9,916,725","11,342,284",0.87,
RI,2012,"SQUID, LONGFIN",5302,"11,689,320","12,743,739",0.92,
RI,2013,"SQUID, LONGFIN",5719,"12,608,733","13,207,503",0.95,
RI,2014,"SQUID, LONGFIN",6644,"14,647,269","13,975,279",1.05,
RI,2015,"SQUID, LONGFIN",7287,"16,065,341","18,864,277",0.85,
RI,2016,"SQUID, LONGFIN",10210,"22,508,475","28,423,823",0.79,
ME,2000,"SQUID, NORTHERN SHORTFIN",0,146,88,1.66,
ME,2001,"SQUID, NORTHERN SHORTFIN",17,"37,350","12,488",2.99,
ME,2002,"SQUID, NORTHERN SHORTFIN",0,687,466,1.47,
ME,2004,"SQUID, NORTHERN SHORTFIN",0,225,48,4.69,
RI,2006,"SQUID, NORTHERN SHORTFIN",8310,"18,320,587","5,721,918",3.2,
RI,2007,"SQUID, NORTHERN SHORTFIN",3559,"7,845,100","1,912,821",4.1,
RI,2008,"SQUID, NORTHERN SHORTFIN",5333,"11,757,361","4,146,991",2.84,
RI,2009,"SQUID, NORTHERN SHORTFIN",6945,"15,310,064","5,203,644",2.94,
RI,2010,"SQUID, NORTHERN SHORTFIN",5639,"12,431,611","5,159,934",2.41,
RI,2011,"SQUID, NORTHERN SHORTFIN",7293,"16,078,884","9,037,349",1.78,
ME,2011,"SQUID, NORTHERN SHORTFIN",1,"1,284","1,275",1.01,
ME,2012,"SQUID, NORTHERN SHORTFIN",1,"1,118","1,352",0.83,
RI,2014,"SQUID, NORTHERN SHORTFIN",4668,"10,291,096","3,742,834",2.75,
RI,2015,"SQUID, NORTHERN SHORTFIN",2009,"4,429,649","1,423,576",3.11,
RI,2016,"SQUID, NORTHERN SHORTFIN",4720,"10,405,993","5,514,021",1.89,
CT,2000,"SEA BASS, BLACK",7,"14,637","26,328",0.56,
CT,2001,"SEA BASS, BLACK",9,"19,639","28,104",0.7,
CT,2002,"SEA BASS, BLACK",14,"29,863","39,700",0.75,
CT,2003,"SEA BASS, BLACK",10,"22,376","54,829",0.41,
CT,2004,"SEA BASS, BLACK",11,"24,867","59,710",0.42,
CT,2005,"SEA BASS, BLACK",8,"17,522","52,447",0.33,
CT,2006,"SEA BASS, BLACK",5,"10,445","31,762",0.33,
CT,2007,"SEA BASS, BLACK",5,"10,123","31,707",0.32,
CT,2008,"SEA BASS, BLACK",7,"15,555","43,797",0.36,
CT,2009,"SEA BASS, BLACK",7,"16,138","54,556",0.3,
CT,2010,"SEA BASS, BLACK",10,"21,498","82,464",0.26,
CT,2011,"SEA BASS, BLACK",9,"20,496","73,615",0.28,
CT,2012,"SEA BASS, BLACK",8,"18,158","62,684",0.29,
CT,2013,"SEA BASS, BLACK",11,"23,066","87,738",0.26,
CT,2014,"SEA BASS, BLACK",12,"26,958","85,251",0.32,
CT,2015,"SEA BASS, BLACK",11,"24,591","104,255",0.24,
CT,2016,"SEA BASS, BLACK",13,"29,168","137,961",0.21,
CT,2000,"SQUID, NORTHERN SHORTFIN",38,"84,050","18,490",,156.4
CT,2002,"SQUID, NORTHERN SHORTFIN",2,"3,634","1,555",,
CT,2003,"SQUID, NORTHERN SHORTFIN",2,"5,225",952,,
CT,2004,"SQUID, NORTHERN SHORTFIN",59,"130,200","18,337",,
CT,2005,"SQUID, NORTHERN SHORTFIN",332,"732,368","265,270",,
CT,2006,"SQUID, NORTHERN SHORTFIN",1,"2,875",333,,
CT,2007,"SQUID, NORTHERN SHORTFIN",1,"2,559","1,847",,
CT,2009,"SQUID, NORTHERN SHORTFIN",0,60,6,,
CT,2011,"SQUID, NORTHERN SHORTFIN",0,60,29,,
CT,2001,"SQUID, LONGFIN",465,"1,025,613","686,778",,
CT,2002,"SQUID, LONGFIN",807,"1,778,266","1,178,428",,
CT,2003,"SQUID, LONGFIN",713,"1,571,902","1,399,771",,
CT,2004,"SQUID, LONGFIN",771,"1,698,875","1,297,651",,
CT,2005,"SQUID, LONGFIN",697,"1,537,497","1,223,552",,
CT,2006,"SQUID, LONGFIN",525,"1,157,430","954,297",,
CT,2007,"SQUID, LONGFIN",368,"810,983","743,563",,
CT,2008,"SQUID, LONGFIN",237,"523,212","546,407",,
CT,2009,"SQUID, LONGFIN",116,"256,168","259,643",,
CT,2010,"SQUID, LONGFIN",166,"365,948","473,320",,
CT,2011,"SQUID, LONGFIN",226,"498,346","693,996",,
CT,2012,"SQUID, LONGFIN",688,"1,517,562","1,861,288",,
CT,2013,"SQUID, LONGFIN",498,"1,097,635","1,256,931",,
CT,2014,"SQUID, LONGFIN",598,"1,318,040","1,353,962",,
CT,2015,"SQUID, LONGFIN",597,"1,316,906","1,630,816",,
CT,2016,"SQUID, LONGFIN",823,"1,814,326","2,188,436",,
CT,2000,MENHADEN,7,"14,423","1,444",,
CT,2001,MENHADEN,18,"38,865","9,722",,
CT,2002,MENHADEN,517,"1,138,788","291,534",,
CT,2003,MENHADEN,21,"46,515","4,655",,
CT,2004,MENHADEN,15,"33,210","3,327",,
CT,2005,MENHADEN,14,"30,636","3,068",,
CT,2006,MENHADEN,393,"866,235","69,303",,
CT,2007,MENHADEN,41,"90,254","9,029",,
CT,2008,MENHADEN,48,"104,881","10,492",,
CT,2009,MENHADEN,78,"170,907","26,883",,
CT,2010,MENHADEN,19,"42,489","9,318",,
CT,2011,MENHADEN,12,"26,929","7,304",,
CT,2012,MENHADEN,17,"37,454","9,514",,
CT,2013,MENHADEN,3,"6,703","3,935",,
CT,2014,MENHADEN,17,"36,552","6,337",,
CT,2015,MENHADEN,37,"81,277","13,795",,
CT,2016,MENHADEN,30,"66,992","11,599",,
